"","typ","typology","hhID","district","Variety","cc.catg.str","years_since_planted","cc.production.cycle","cm.plot.monocrop.bool","cc_yield_fn_Mg_per_ha","yld_pc_attain_plot","weeds_per_year","prunes_per_year","fert_bool","fungi.app.cocoa","insecti.app.cocoa","herbi.app.cocoa","pollination.bool","ccoa_spread_pods","ccoa_piled_pods","ccoa_passive_pods","ccoa_apply_mnr_farm","ccoa_apply_mnr_bought","ccoa_apply_mnr_anywhere","ccoa_apply_cmp","tree.count.per.ha","tree.config.cocoa","plot.overstory.crown","other.tree.to.cm.tree.ratio","shade.tree.to.cm.tree.ratio","plot.quant.shade.trees.ha","plot.quant.large.shade.trees.ha","num_other_tree_crops","num_other_root_grain_crops","plot.quant.trees.per.ha.greater.than.50.m","plot.quant.trees.per.ha.greater.than.35.m","plot.quant.trees.per.ha.greater.than.20.m","detect.bool.blackpod","detect.bool.capsid","detect.bool.stemborer","detect.bool.rodents","detect.bool.CSSVD","detect.bool.stemcanker","detect.bool.other","path.contr.cc.vir.org","path.contr.cc.bact.org","path.contr.cc.fung.org","path.contr.cc.insect.org","path.contr.cc.vir.syn","path.contr.cc.bact.syn","path.contr.cc.fung.syn","path.contr.cc.insect.syn","path.contr.tot.org","path.contr.tot.syn","frac.tot.paths.controlled.syn","frac.tot.paths.controlled.org","quant.paths","quant.paths.fungal","quant.paths.viral","quant.paths.bacterial","quant.paths.insect","total_N_fert_applied_Mg_per_ha","total_non_N_fert_applied_Mg_per_ha","total_fert_applied_Mg_per_ha","total.hi.labor.days.per.year.per.ha","domn_soil","water.log.bool","water.logged","Elevation.m.asl","Temperature","Rainfall","Temp.mean.max.month","Rainfall.cv"
"387",5,"Hybrid shade","v35_49",2,"Hybrid","Hybrid shade",15,24,0,0.498559048,23.1402280941075,3.5,2,0,1,1,0,0,0,1,0,0,0,0,0,1466.52,1,45,0.0227272727272727,0.0136363636363636,19.998,15.9984,2,1,11.11,44.44,22.22,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,3,0,1,1,0,0,0,0,12.35525,2,0,1,213,25.5,30,31.7999992370605,47.8239974975586
"388",3,"Hybrid sun","v35_50",2,"Hybrid","Hybrid sun",9,24,0,0.0619986445,2.78249142382518,1.5,2,1,1,1,0,0,0,1,0,0,0,0,0,888.8,1,25,0.0125,0.00625,5.555,0,2,1,0,0,11.11,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.0247105,0,0.0247105,9.8842,2,0,1,220,25.5,30,31.7000007629395,47.8671226501465
"390",5,"Hybrid sun","v35_52",2,"Hybrid","Hybrid sun",10,24,1,0.704150408,28.5966773455064,3.5,1,1,1,1,0,0,0,1,0,0,0,0,0,1111,3,55,0.02,0.01,11.11,5.555,0,0,0,0,22.22,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,1,1,1,0,1,1,0,0.3706575,0,0.3706575,1.64736666666667,2,0,1,208,25.6000003814697,29,31.8999996185303,48.2114143371582
"395",4,"Amazonia","v35_57",2,"Amazonia","Amazonia",28,30,0,0.2887916135,22.6176704749974,4.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1088.78,1,25,0.0204081632653061,0.0102040816326531,11.11,5.555,2,1,0,0,22.22,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0.3706575,0,0.3706575,0,1,0,1,217,25.5,29,31.7999992370605,48.0935287475586
"398",5,"Amazonia","v35_60",2,"Amazonia","Amazonia",30,30,0,0.579510646,48.2308649862454,3.5,1,0,1,1,0,0,0,1,0,0,0,0,0,1033.23,1,25,0.010752688172043,0.010752688172043,11.11,0,0,1,11.11,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,7.90736,1,0,1,208,25.6000003814697,29,31.8999996185303,48.2114143371582
"411",2,"Hybrid sun","v35_73",2,"Hybrid","Hybrid sun",7,24,0,0.101510734,6.74556808239029,3.5,1,1,1,1,1,0,0,1,0,0,0,0,0,799.92,1,55,0.0138888888888889,0.00694444444444444,5.555,0,2,0,0,0,11.11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0.3706575,0,0.3706575,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"412",2,"Hybrid sun","v35_74",2,"Hybrid","Hybrid sun",10,24,1,0.412467666,16.7509734085904,3.5,1,0,1,1,1,0,0,0,0,0,0,0,0,1833.15,1,45,0.00606060606060606,0.00303030303030303,5.555,0,0,0,11.11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,98.842,2,0,1,189,25.7000007629395,29,32.0999984741211,47.8997764587402
"413",4,"Hybrid sun","v35_75",2,"Hybrid","Hybrid sun",8,24,0,0.061677408,3.2447308680574,1.5,2,0,0,1,0,0,0,0,0,0,0,0,0,1088.78,1,25,0.0102040816326531,0.00510204081632653,5.555,0,2,0,0,0,11.11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"419",3,"Hybrid shade","v35_81",2,"Hybrid","Hybrid shade",7,24,0,0.248637051,25.3896665849546,3.5,2,0,1,1,1,0,0,1,0,0,0,0,0,1111,3,45,0.03,0.0225,24.9975,18.748125,2,1,22.22,0,33.33,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,33.8886857142857,2,0,1,189,25.7000007629395,29,32.0999984741211,47.8997764587402
"420",3,"Hybrid shade","v35_82",2,"Hybrid","Hybrid shade",7,24,1,0.66174719,67.5745648126699,1.5,1,1,1,1,1,0,0,1,0,0,0,0,0,1088.78,3,55,0.0204081632653061,0.0136054421768707,14.8133333333333,9.87555555555556,0,0,0,0,22.22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0.3706575,0.3706575,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"421",5,"Hybrid sun","v35_83",2,"Hybrid","Hybrid sun",8,24,1,0.412467666,21.6991376801339,1.5,2,0,1,1,0,0,0,0,0,0,0,0,0,1244.32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,79.0736,2,0,1,181,25.7999992370605,29,32.2000007629395,48.0405616760254
"422",2,"Hybrid sun","v35_84",2,"Hybrid","Hybrid sun",8,24,1,0.330231122,17.3728298560574,3.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1088.78,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0.247105,0.247105,0,2,0,1,181,25.7999992370605,29,32.2000007629395,48.0405616760254
"423",5,"Hybrid shade","v35_85",2,"Hybrid","Hybrid shade",14,24,0,0.1448776615,6.87213874129097,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1522.07,1,45,0.0218978102189781,0.0131386861313869,19.998,15.9984,3,1,0,22.22,22.22,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,2.47105,1,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"424",4,"Hybrid sun","v35_86",2,"Hybrid","Hybrid sun",15,24,0,0.165758034,7.26374629098102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1188.77,1,25,0.0186915887850467,0.00934579439252336,11.11,5.555,0,1,0,0,11.11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,181,25.7999992370605,29,32.2000007629395,48.0405616760254
"426",1,"Hybrid sun","v35_88",2,"Hybrid","Hybrid sun",20,24,0,0.1037593895,8.57962183834887,3.5,3.5,1,0,1,1,0,0,1,1,0,0,0,0,1077.67,1,45,0.0103092783505155,0.00343642611683849,3.70333333333333,0,4,2,0,0,11.11,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.0049421,0,0.0049421,0,2,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"427",2,"Amazonia","v35_89",2,"Amazonia","Amazonia",17,30,0,0.28911285,25.9294005963496,3.5,1,1,1,1,1,0,0,1,1,0,0,0,0,833.25,1,45,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,3,0,1,1,0,0.0197684,0,0.0197684,0,2,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"428",3,"Hybrid sun","v35_90",2,"Hybrid","Hybrid sun",13,24,1,0.165115561,6.41106700703307,3.5,1,0,1,1,0,0,0,1,0,0,0,0,0,866.58,1,45,0.0256410256410256,0.0128205128205128,11.11,5.555,0,1,0,0,22.22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,4.11841666666667,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"434",5,"Hybrid shade","v35_96",2,"Hybrid","Hybrid shade",20,24,0,0.206233833,10.1520819425825,3.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1188.77,1,45,0.0467289719626168,0.0350467289719626,41.6625,31.246875,1,1,11.11,0,66.66,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"435",5,"Hybrid shade","v35_97",2,"Hybrid","Hybrid shade",6,24,0,0.0825577805,11.0516867459217,3.5,1,0,1,1,1,0,0,0,0,0,0,0,0,466.62,1,25,0.0714285714285714,0.0595238095238095,27.775,23.1458333333333,1,1,22.22,11.11,66.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,74.1315,2,0,1,191,25.7000007629395,29,32.0999984741211,47.926399230957
"436",4,"Amazonia","v35_98",2,"Amazonia","Amazonia",20,30,1,0.375204232,29.2292222627689,0,2,0,1,1,0,0,0,0,0,1,0,1,0,1088.78,1,25,0.0306122448979592,0,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,19.7684,1,0,1,189,25.7000007629395,29,32.0999984741211,47.8997764587402
"440",2,"Hybrid sun","v35_102",2,"Hybrid","Hybrid sun",20,24,1,0.825577805,68.2651025528068,3.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,35,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,2.47105,2.47105,92.664375,2,0,1,181,25.7999992370605,29,32.2000007629395,48.0405616760254
"444",5,"Amazonia","v35_106",2,"Amazonia","Amazonia",11,30,0,0.123997289,22.7384068685227,3.5,2,1,1,1,0,0,0,1,1,0,0,0,0,1133.22,1,25,0.00980392156862745,0.0065359477124183,7.40666666666667,0,1,2,0,22.22,22.22,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.3706575,0.593052,0.9637095,0,2,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"446",4,"Hybrid shade","v35_108",2,"Hybrid","Hybrid shade",10,24,0,0.123997289,7.65753571433594,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1066.56,1,25,0.0208333333333333,0.0138888888888889,14.8133333333333,14.8133333333333,0,1,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,14.8263,1,0,1,187,25.7000007629395,29,32.0999984741211,47.9860687255859
"449",5,"Amazonia","v35_111",2,"Amazonia","Amazonia",17,30,1,0.289755323,25.9870214865637,3.5,1,1,1,1,0,0,0,1,0,0,0,0,0,1033.23,1,25,0.010752688172043,0.0053763440860215,5.555,0,0,0,0,0,11.11,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0.3706575,0,3,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"451",5,"Hybrid shade","v35_113",2,"Hybrid","Hybrid shade",8,24,0,0.123997289,10.2590676954579,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1477.63,1,25,0.0150375939849624,0.0150375939849624,22.22,22.22,3,2,0,0,11.11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0.00247105,0.00247105,2.47105,1,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"455",4,"Amazonia","v35_117",2,"Amazonia","Amazonia",25,30,0,0.249279524,18.5245342255877,1.5,3.5,0,1,1,0,0,0,0,0,0,0,0,0,922.13,1,5,0.0240963855421687,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,0,0,0,0,2.82405714285714,3,0,1,183,25.7000007629395,29,32.0999984741211,47.9446067810059
"496",4,"Amazonia","v35_158",1,"Amazonia","Amazonia",8,30,1,0.0619986445,24.1612440477355,3.5,1,0,1,1,0,0,0,0,0,0,0,0,0,711.04,1,5,0.046875,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,4,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"497",3,"Hybrid sun","v35_159",1,"Hybrid","Hybrid sun",15,24,0,0.123997289,5.43373269054006,3.5,1,0,1,1,0,0,0,1,1,0,0,0,0,1222.1,1,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,3,0,1,1,0,0,0,0,0,2,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"499",4,"Amazonia","v35_161",1,"Amazonia","Amazonia",30,30,0,0.082879017,6.89776228738986,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,922.13,1,35,0.0120481927710843,0.00602409638554217,5.555,0,2,0,0,0,11.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,14.8263,1,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"504",3,"Hybrid sun","v35_166",2,"Hybrid","Hybrid sun",8,24,0,0.123997289,6.52326101599041,3.5,1,1,1,1,0,0,0,1,0,0,0,0,0,1244.32,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0.247105,0.247105,0,1,0,1,288,25.1000003814697,32,31.2000007629395,47.1114959716797
"510",3,"Hybrid sun","v35_172",1,"Hybrid","Hybrid sun",20,24,0,0.029553758,2.4437312976102,3.5,2,0,1,1,0,0,0,0,0,0,0,0,0,533.28,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"511",5,"Hybrid shade","v35_173",1,"Hybrid","Hybrid shade",4,24,0,0.23129028,70.6924067558545,3.5,1,0,1,1,0,0,0,0,0,0,0,0,0,544.39,1,15,0.0612244897959184,0.0306122448979592,16.665,8.3325,2,0,0,0,33.33,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0,0,14.8263,1,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"512",5,"Hybrid shade","v35_174",1,"Hybrid","Hybrid shade",14,24,0,0.248637051,11.7938700349428,3.5,1,1,1,1,0,0,0,0,0,0,0,0,0,711.04,2,15,0.03125,0.03125,22.22,22.22,2,0,22.22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0,0.3706575,0.3706575,30.2703625,2,0,1,210,25.6000003814697,31,31.7999992370605,47.5864906311035
"514",4,"Amazonia","v35_176",1,"Amazonia","Amazonia",34,30,1,0.495989156,49.0261036366363,1.5,1,1,1,1,0,0,0,1,1,0,0,0,0,1377.64,1,35,0.0241935483870968,0.0120967741935484,16.665,8.3325,0,0,0,0,11.11,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.741315,0,0.741315,27.67576,2,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"515",5,"Hybrid shade","v35_177",1,"Hybrid","Hybrid shade",20,24,0,0.415037558,20.4306695791537,1.5,2,0,1,1,0,0,0,1,1,0,0,0,0,1299.87,1,35,0.0341880341880342,0.0205128205128205,26.664,21.3312,1,2,0,22.22,44.44,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,24.7105,1,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"517",5,"Amazonia","v35_179",1,"Amazonia","Amazonia",28,30,0,0.123997289,9.71125784577195,3.5,2,1,1,1,0,0,0,1,0,0,0,0,0,1044.34,1,55,0.0212765957446809,0.0106382978723404,11.11,5.555,0,1,0,0,22.22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0.3706575,0.3706575,22.23945,1,1,3,211,25.6000003814697,31,31.8999996185303,47.5613861083984
"518",1,"Hybrid shade","v35_180",1,"Hybrid","Hybrid shade",28,24,0,0.535822482,41.6218912696172,3.5,1,1,1,1,1,0,0,0,0,0,0,0,0,1244.32,1,55,0.0535714285714286,0.0267857142857143,33.33,16.665,0,1,0,0,11.11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,2,0,0,0,0.3706575,0.3706575,25.946025,2,0,1,244,25.3999996185303,32,31.6000003814697,47.0916404724121
"519",1,"Hybrid shade","v35_181",1,"Hybrid","Hybrid shade",10,24,0,0.745911153,46.0642433385701,3.5,1,1,1,1,1,1,0,0,1,0,0,0,0,1244.32,1,55,0.0446428571428571,0.0148809523809524,18.5166666666667,6.17222222222222,5,2,0,0,44.44,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.0098842,0.3706575,0.3805417,6.50276315789474,2,0,1,210,25.6000003814697,31,31.7999992370605,47.5864906311035
"520",1,"Hybrid shade","v35_182",1,"Hybrid","Hybrid shade",11,24,0,0.662389663,37.0621989161592,3.5,1,1,1,1,1,0,0,0,1,0,0,0,0,1166.55,3,45,0.0476190476190476,0.0285714285714286,33.33,26.664,5,2,0,22.22,55.55,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0.3706575,0.3706575,2.96526,1,0,1,243,25.3999996185303,32,31.6000003814697,47.1118545532227
"521",5,"Hybrid shade","v35_183",1,"Hybrid","Hybrid shade",19,24,0,0.371349394,17.7394884460922,1.5,1,1,0,0,1,0,0,0,0,0,0,0,0,1066.56,1,45,0.03125,0.0208333333333333,22.22,22.22,2,1,0,44.44,22.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0.3706575,0.3706575,18.532875,2,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
"522",4,"Hybrid shade","v35_184",1,"Hybrid","Hybrid shade",15,24,0,0.0619986445,2.87761857098115,3.5,1,1,0,1,0,0,0,0,0,0,0,0,0,988.79,1,25,0.0337078651685393,0.0202247191011236,19.998,15.9984,2,0,0,22.22,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0.3706575,0,0.3706575,37.06575,2,0,1,210,25.6000003814697,31,31.8999996185303,47.6120147705078
"524",5,"Hybrid shade","v35_186",1,"Hybrid","Hybrid shade",8,24,0,0.413110139,34.179173721137,3.5,1,1,1,1,1,0,0,0,0,0,0,0,0,833.25,2,35,0.0666666666666667,0.0333333333333333,27.775,13.8875,0,1,0,0,22.22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,0.247105,0,0.247105,2.96526,2,1,3,210,25.6000003814697,31,31.7999992370605,47.5864906311035
"528",5,"Hybrid sun","v35_190",1,"Hybrid","Hybrid sun",25,24,0,0.123997289,26.2787002071528,3.5,1,1,1,1,0,0,0,1,1,0,0,0,0,977.68,1,15,0.0113636363636364,0.00568181818181818,5.555,0,1,1,0,22.22,11.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0.3706575,0,0.3706575,65.8946666666667,2,0,1,211,25.6000003814697,31,31.8999996185303,47.5613861083984
"529",3,"Hybrid sun","v35_191",1,"Hybrid","Hybrid sun",25,24,0,0.165115561,34.9928805867267,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,844.36,1,45,0.0263157894736842,0.0131578947368421,11.11,5.555,2,0,22.22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,18.532875,4,0,1,263,25.2000007629395,32,31.3999996185303,47.1927375793457
